street,2253,3,440
class,2218,3,441
whisper,2215,3,442
wonder,2212,3,443
line,2206,3,444
notice,2206,3,445
least,2197,3,446
cat,2193,3,447
lead,2190,3,448
led,2190,3,449
fire,2187,3,450
anyone,2178,3,451
lay,2175,3,452
thought,2172,3,453
whole,2172,3,454
large,2159,3,455
push,2150,3,456
pushed,2150,3,457
food,2147,3,458
win,2137,3,459
drop,2128,3,460
lot,2128,3,461
probably,2103,3,462
ready,2100,3,463
yeah,2100,3,464
kitchen,2094,3,465
front,2091,3,466
dead,2072,3,467
others,2069,3,468
hide,2066,3,469
jump,2066,3,470
jumped,2066,3,471
both,2057,3,472
ear,2057,3,473
ears,2057,3,474
bag,2050,3,475
may,2050,3,476
five,2041,3,477
rest,2041,3,478
guess,2038,3,479
happy,2032,3,480
shout,2029,3,481
shouted,2029,3,482
student,2022,3,483
students,2022,3,484
spend,2019,3,485
quickly,2007,3,486
mom,2001,3,487
drive,1994,3,488
thank,1994,3,489
beautiful,1991,3,490
king,1985,3,491
finish,1979,3,492
finished,1979,3,493
full,1979,3,494
wrong,1976,3,495
fly,1969,3,496
box,1963,3,497
climb,1963,3,498
climbed,1963,3,499
character,1960,3,500
sky,1957,3,501
draw,1954,3,502
glance,1941,3,503
inside,1941,3,504
problem,1941,3,505
realize,1938,3,506
explain,1932,3,507
dad,1926,3,508
bought,1920,3,509
buy,1920,3,510
point,1920,3,511
hit,1910,3,512
question,1910,3,513
questions,1910,3,514
wind,1882,3,515
pay,1879,3,516
tall,1879,3,517
chair,1876,3,518
slowly,1870,3,519
along,1851,3,520
different,1851,3,521
party,1851,3,522
bird,1848,3,523
birds,1848,3,524
crowd,1848,3,525
stone,1848,3,526
nice,1845,3,527
add,1842,3,528
animal,1842,3,529
reply,1842,3,530
glass,1839,3,531
appear,1814,3,532
hey,1811,3,533
hot,1811,3,534
sleep,1811,3,535
wife,1804,3,536
lean,1801,3,537
lip,1798,3,538
sun,1795,3,539
true,1786,3,540
arrive,1776,3,541
arrived,1776,3,542
cold,1776,3,543
piece,1776,3,544
care,1770,3,545
office,1770,3,546
forward,1767,3,547
fast,1764,3,548
fight,1758,3,549
miss,1745,3,550
yell,1736,3,551
roll,1733,3,552
rolled,1733,3,553
ride,1730,3,554
nose,1727,3,555
strong,1727,3,556
fact,1724,3,557
corner,1717,3,558
save,1717,3,559
person,1711,3,560
during,1699,3,561
raise,1674,3,562
raised,1674,3,563
short,1671,3,564
teacher,1668,3,565
summer,1664,3,566
late,1655,3,567
rock,1652,3,568
green,1649,3,569
six,1649,3,570
land,1640,3,571
trouble,1640,3,572
worry,1640,3,573
sometimes,1636,3,574
cut,1624,3,575
enter,1624,3,576
entered,1624,3,577
road,1621,3,578
cover,1615,3,579
covered,1615,3,580
rise,1612,3,581
chance,1608,3,582
deep,1608,3,583
age,1605,3,584
death,1605,3,585
phone,1599,3,586
hundred,1590,3,587
yourself,1590,3,588
field,1584,3,589
near,1577,3,590
sigh,1571,3,591
soldier,1571,3,592
soldiers,1571,3,593
beside,1562,3,594
hurt,1549,3,595
perhaps,1549,3,596
sing,1540,3,597
second,1537,3,598
top,1531,3,599
seat,1528,3,600
business,1524,3,601
low,1515,3,602
outside,1512,3,603
tomorrow,1509,3,604
important,1500,3,605
teach,1500,3,606
touch,1500,3,607
expect,1496,3,608
daughter,1490,3,609
past,1490,3,610
village,1490,3,611
reason,1487,3,612
able,1484,3,613
lie,1484,3,614
dinner,1481,3,615
half,1481,3,616
picture,1478,3,617
power,1475,3,618
tiny,1472,3,619
group,1465,3,620
lift,1462,3,621
lifted,1462,3,622
clothes,1453,3,623
quite,1453,3,624
several,1453,3,625
tooth,1450,3,626
hate,1447,3,627
quiet,1447,3,628
ten,1447,3,629
coach,1444,3,630
city,1437,3,631
shoot,1437,3,632
build,1434,3,633
built,1434,3,634
afternoon,1419,3,635
blood,1409,3,636
huge,1406,3,637
marry,1403,3,638
afraid,1400,3,639
ok,1397,3,640
special,1397,3,641
actually,1391,3,642
easy,1391,3,643
join,1391,3,644
joined,1391,3,645
imagine,1384,3,646
slip,1381,3,647
hall,1372,3,648
strange,1372,3,649
agree,1369,3,650
agreed,1369,3,651
country,1366,3,652
matter,1366,3,653
tear,1366,3,654
garden,1363,3,655
heavy,1356,3,656
neck,1356,3,657
dress,1347,3,658
attention,1341,3,659
building,1341,3,660
warm,1341,3,661
wood,1341,3,662
nearly,1338,3,663
steal,1338,3,664
gold,1335,3,665
stick,1335,3,666
chest,1332,3,667
cool,1332,3,668
dream,1332,3,669
check,1328,3,670
upon,1328,3,671
anyway,1322,3,672
above,1313,3,673
edge,1310,3,674
hurry,1307,3,675
number,1307,3,676
hole,1304,3,677
knee,1304,3,678
tonight,1304,3,679
star,1300,3,680
stars,1300,3,681
brown,1279,3,682
scream,1279,3,683
bus,1276,3,684
mountain,1276,3,685
mountains,1276,3,686
left,1269,3,687
letter,1269,3,688
skin,1269,3,689
allow,1263,3,690
wolf,1263,3,691
whatever,1257,3,692
gather,1254,3,693
lunch,1254,3,694
poor,1254,3,695
exactly,1248,3,696
angry,1241,3,697
slide,1241,3,698
wake,1238,3,699
lady,1235,3,700
evening,1229,3,701
river,1229,3,702
throat,1226,3,703
promise,1220,3,704
bright,1213,3,705
pretty,1213,3,706
blow,1207,3,707
desk,1207,3,708
free,1207,3,709
basket,1204,3,710
cloud,1201,3,711
ship,1201,3,712
visit,1201,3,713
often,1198,3,714
doctor,1195,3,715
store,1192,3,716
couple,1188,3,717
wave,1185,3,718
waves,1185,3,719
color,1182,3,720
husband,1182,3,721
note,1182,3,722
sign,1179,3,723
flower,1176,3,724
flowers,1176,3,725
gray,1173,3,726
sir,1173,3,727
soft,1173,3,728
cheek,1170,3,729
choose,1167,3,730
offer,1167,3,731
pocket,1167,3,732
snow,1167,3,733
supposed,1167,3,734
shoe,1164,3,735
shoes,1164,3,736
shut,1160,3,737
shirt,1157,3,738
sense,1151,3,739
war,1148,3,740
tired,1145,3,741
officer,1139,3,742
nobody,1136,3,743
figure,1132,3,744
shadow,1129,3,745
perfect,1126,3,746
glad,1123,3,747
news,1123,3,748
path,1123,3,749
plan,1120,3,750
safe,1111,3,751
dance,1101,3,752
early,1101,3,753
empty,1101,3,754
gaze,1098,3,755
grin,1098,3,756
alone,1095,3,757
beneath,1095,3,758
race,1095,3,759
feeling,1089,3,760
fish,1089,3,761
rain,1089,3,762
hat,1086,3,763
spot,1086,3,764
case,1083,3,765
either,1080,3,766
thick,1080,3,767
beat,1073,3,768
grandmother,1073,3,769
ice,1070,3,770
sick,1067,3,771
smell,1067,3,772
hill,1061,3,773
sell,1061,3,774
sight,1061,3,775
creature,1058,3,776
especially,1048,3,777
sweet,1048,3,778
clear,1039,3,779
stuff,1039,3,780
truth,1039,3,781
disappear,1036,3,782
music,1036,3,783
egg,1033,3,784
eggs,1033,3,785
tea,1033,3,786
drink,1030,3,787
swing,1030,3,788
state,1027,3,789
cousin,1020,3,790
wide,1020,3,791
cross,1017,3,792
stomach,1017,3,793
anymore,1014,3,794
apartment,1014,3,795
shrug,1014,3,796
study,1014,3,797
bell,1011,3,798
enjoy,1011,3,799
yellow,1011,3,800
pain,1005,3,801
pause,1005,3,802
practice,1005,3,803
settle,1005,3,804
settled,1005,3,805
middle,1002,3,806
player,1002,3,807
spirit,999,3,808
silence,996,3,809
wild,996,3,810
rich,989,3,811
silver,989,3,812
song,989,3,813
thousand,989,3,814
thousands,989,3,815
police,986,3,816
rush,983,3,817
fear,980,3,818
noise,980,3,819
remain,980,3,820
straight,980,3,821
gift,977,3,822
gate,974,3,823
rope,974,3,824
burn,968,3,825
snap,964,3,826
north,961,3,827
remind,961,3,828
shall,961,3,829
carefully,958,3,830
direction,955,3,831
everybody,955,3,832
boat,946,3,833
coffee,946,3,834
count,943,3,835
quick,940,3,836
busy,936,3,837
manage,936,3,838
birthday,930,3,839
breathe,930,3,840
church,927,3,841
yard,927,3,842
ignore,924,3,843
loud,924,3,844
moon,924,3,845
surprise,924,3,846
force,921,3,847
share,921,3,848
stair,921,3,849
camp,918,3,850
instead,918,3,851
tail,918,3,852
wrap,915,3,853
folk,912,3,854
frown,912,3,855
mine,912,3,856
ring,912,3,857
sea,912,3,858
ahead,908,3,859
test,905,3,860
winter,905,3,861
space,902,3,862
america,899,3,863
american,899,3,864
bedroom,899,3,865
none,899,3,866
silent,899,3,867
earth,896,3,868
rule,896,3,869
thin,896,3,870
consider,893,3,871
tongue,893,3,872
knock,890,3,873
leaf,890,3,874
